date,prob_diff,nltk_prob_diff,signal_finbert,signal_nltk,label
2018-03-20,-0.14616643986404196,-0.006125000000000001,0,-1,-0.0018456884848019328
2018-03-21,-0.09692013861042904,0.02941935483870968,0,0,-0.025484890016140405
2018-03-22,-0.30546428865335207,0.013657534246575342,-1,0,-0.021189833248421053
2018-03-23,-0.09520924911720909,0.02992727272727273,0,0,0.026795026112632847
2018-03-26,-0.09011019207434363,0.013000000000000001,0,0,-0.017427312133270867
2018-03-27,-0.1336000569884467,0.016885245901639343,0,0,-0.002920874045064359
2018-03-28,-0.06548779725917588,0.04546551724137931,1,1,0.013675733119263178
2018-03-29,-0.12810306239287458,-0.002644067796610169,0,0,0.0
2018-03-30,-0.12553940158750476,-0.024714285714285716,0,-1,-0.022590592580476354
2018-04-02,-0.4071433647442486,0.004416666666666669,-1,0,0.0125359346035534
2018-04-03,-0.06757808824618418,0.04901818181818182,1,1,0.011500105825438922
2018-04-04,-0.19296813997595366,0.01226829268292683,0,0,0.006839366240059874
2018-04-05,-0.09757349476392245,0.018571428571428576,0,0,-0.022164022802027894
2018-04-06,-0.1919133960080875,0.013929824561403509,0,0,0.003331017352751431
2018-04-09,-0.10666612014656963,0.025160714285714286,0,0,0.01658852125511512
2018-04-10,0.02895396443659329,0.03838888888888889,1,1,-0.005540619488903609
2018-04-11,-0.17573108604394314,0.006979166666666668,0,0,0.008216880187238651
2018-04-12,0.07202225873187162,0.01930612244897959,1,0,-0.0028908218745016256
2018-04-13,-0.3507941190002144,0.03955555555555556,-1,1,0.008076322362107646
2018-04-16,-0.1591988994292692,0.016579999999999998,0,0,0.010605144127270982
2018-04-17,-0.1263034186842059,0.010019607843137254,0,0,0.0008310203745827138
2018-04-18,0.04848423283231026,0.04553846153846154,1,1,-0.005742577941307836
2018-04-19,-0.0998976878763686,0.01812,0,0,-0.008573180471046271
2018-04-20,-0.16608432289857,-0.005945454545454543,0,-1,5.6175251820889116e-05
2018-04-23,-0.3286471576049138,0.01810810810810811,-1,0,-0.01347089561834558
2018-04-24,-0.05937303878976071,0.031982142857142855,1,1,0.0018354334726682353
2018-04-25,-0.011634223513349152,0.03276271186440678,1,1,0.010380129158368057
