date,label,predict,pos_quantile,pos
2019-05-20,0.9564073271719108,-0.014181733,0,-0.6932660835182402
2019-05-21,-0.36876304876931904,0.3151344,1,0.8359151227741605
2019-05-22,-1.4089343508460186,0.3151341,0,0.8359145607189721
2019-05-23,0.15687748948463495,0.31513438,0,0.8359150665687205
2019-05-24,-0.0037813319026879064,-0.017957412,-1,-0.7053428406243093
2019-05-27,-0.9917390392221068,-0.016462334,-1,-0.7006084558191141
2019-05-28,-0.7997005169598415,-0.01798863,-1,-0.7054410335025448
2019-05-29,0.2858367568489216,-0.014561538,0,-0.6944990124218479
2019-05-30,-1.5276711621984878,-0.014605153,0,-0.694640338215325
2019-05-31,-0.26435050182788306,-0.015746761,0,-0.6983203992197835
2019-06-03,2.4285319929238334,0.31513438,0,0.8359150665687205
2019-06-04,0.9191102292399068,0.31513438,0,0.8359150665687205
2019-06-05,0.678331710304995,0.31513438,0,0.8359150665687205
2019-06-06,1.1444684029907568,0.31513438,0,0.8359150665687205
2019-06-07,0.4755722347748185,0.31513438,0,0.8359150665687205
2019-06-10,-0.09971503285176302,-0.01792683,-1,-0.7052466251905719
2019-06-11,-0.29313560571670944,-0.013532147,0,-0.691147943617993
2019-06-12,0.4230156206511415,0.31513447,1,0.8359152351849878
2019-06-13,-0.25159469545782637,-0.018462129,-1,-0.7069270608939455
2019-06-14,0.0533120439493778,-0.011440106,0,-0.6842450141441331
2019-06-17,1.0871768219494844,-0.015988525,-1,-0.699095048122375
2019-06-18,0.2736595276812215,0.31513438,0,0.8359150665687205
2019-06-19,1.0378387488835836,0.31513438,0,0.8359150665687205
2019-06-20,-0.26509181043727054,-0.016177751,-1,-0.699700215330356
2019-06-21,-0.3195980930419698,-0.012302078,0,-0.6871042573964787
2019-06-24,-1.2559290213410106,-0.0115018785,0,-0.6844506243233635
2019-06-25,-0.22470491675472207,-0.013152204,0,-0.6899035133398425
2019-06-26,0.402061917815533,-0.013848532,0,-0.6921810868945201
2019-06-27,0.6351248322831411,0.31513438,0,0.8359150665687205
2019-06-28,0.8599153886506324,0.31513438,0,0.8359150665687205
2019-07-01,0.25536973318561457,-0.013088394,0,-0.6896941128986369
2019-07-02,0.8466302245550437,-0.015158877,0,-0.6964298841648099
2019-07-03,-0.13898918724371753,-0.017558709,-1,-0.704086378163586
2019-07-04,-0.370283579739186,-0.022505179,-1,-0.7193639987344896
2019-07-05,-0.75750217916949,-0.01816358,-1,-0.7059908228567873
2019-07-08,0.04755185285272443,-0.014781278,0,-0.695210479851512
2019-07-09,0.4781163616333108,-0.014881007,0,-0.6955329331837601
2019-07-10,0.17655724361450909,-0.015780095,-1,-0.6984273035744266
2019-07-11,0.4874188476561761,-0.015030254,0,-0.6960149640964423
2019-07-12,-0.12156754734103045,-0.01376038,0,-0.6918935159740625
2019-07-15,-0.6111237598176347,-0.018611483,-1,-0.7073945036642163
2019-07-16,-1.0274127603150238,0.31513438,0,0.8359150665687205
2019-07-17,0.385504007653582,-0.014011033,0,-0.6927106272138212
2019-07-18,-0.9737240959550775,-0.014143344,0,-0.6931412375550202
2019-07-19,0.2977156867213712,-0.016598482,-1,-0.7010421697437812
2019-07-22,0.8520611547457815,-0.013005819,0,-0.6894229642718644
2019-07-23,0.5368552089592465,-0.014809303,0,-0.6953011217278214
2019-07-24,-0.8816960303009391,-0.0134591125,0,-0.6909090506747912
2019-07-25,0.926316772460247,-0.02074043,-1,-0.7139906059543977
2019-07-26,-0.36907947200525154,-0.014726665,0,-0.6950337833322138
2019-07-29,-0.503016656712121,-0.013042357,0,-0.6895429658179416
2019-07-30,-1.66191558295502,0.31513438,0,0.8359150665687205
2019-07-31,-1.3431869193104107,0.31513447,1,0.8359152351849878
2019-08-01,-1.0696548734405604,0.31513438,0,0.8359150665687205
2019-08-02,-3.6024180092442255,0.31513438,0,0.8359150665687205
2019-08-05,1.560624699221792,-0.013038661,0,-0.6895308303511425
2019-08-06,0.11164074695040994,-0.014785651,0,-0.6952246264044792
2019-08-07,2.114417715309747,0.31513447,1,0.8359152351849878
2019-08-08,-0.78013396760578,-0.012000773,0,-0.6861072050401467
2019-08-09,-1.3593451283727778,-0.015823111,-1,-0.6985652128893953
2019-08-12,1.6282712741647296,-0.017121542,-1,-0.7027036172298109
2019-08-13,-2.969094176456994,-0.014971063,0,-0.6958238654555139
2019-08-14,0.29699695882602667,-0.016961701,-1,-0.7021967090194952
2019-08-15,1.46057445200246,-0.014359929,0,-0.6938450519925584
2019-08-16,1.1953534820781981,-0.014629304,0,-0.6947185706335378
2019-08-19,-0.8008273407020061,-0.018993065,-1,-0.708585955694061
2019-08-20,0.8164339648137325,-0.020301037,-1,-0.7126394581512903
2019-08-21,-0.06686445904131405,-0.023682717,-1,-0.7229022476294443
2019-08-22,-2.4849628234452377,-0.015199102,0,-0.6965595510936035
2019-08-23,1.0656149105221364,0.22991824,0,0.5875812912432392
2019-08-26,-0.2865120838541366,-0.017625257,-1,-0.7042964051065778
2019-08-27,0.6463033465430221,-0.017821025,-1,-0.7049135326445577
2019-08-28,1.2054687775831847,0.31513438,0,0.8359150665687205
2019-08-29,0.044702414726238614,-0.013753112,0,-0.6918697961235856
2019-08-30,-0.01810707015672024,-0.018117096,-1,-0.705844827540464
2019-09-02,-0.6929271439321387,-0.020734537,-1,-0.7139725186521427
2019-09-03,1.0474399506920353,-0.012804754,0,-0.6887619234852596
2019-09-04,1.2253272028478956,-0.016820587,-1,-0.701748597884868
2019-09-05,0.036103904515347986,0.31513447,1,0.8359152351849878
2019-09-06,-0.0636457567151055,-0.018008955,-1,-0.705504949780045
2019-09-09,-0.021299397834396133,-0.014556769,0,-0.694483558452259
2019-09-10,0.6715585336607308,-0.017342191,-1,-0.7034021968637743
2019-09-11,0.22352178266873066,-0.017503615,-1,-0.7039124107226556
2019-09-12,-0.1490885765778917,0.1826373,0,0.3609371120659613
2019-09-13,-0.3978865080266393,-0.018313259,-1,-0.7064605184662941
2019-09-16,0.206525310666794,0.315134,0,0.835914335896406
2019-09-17,-0.03287557913023763,0.31513438,0,0.8359150665687205
2019-09-18,-0.06711152858649062,0.31513438,0,0.8359150665687205
2019-09-19,-0.5982271779275519,0.31513438,0,0.8359150665687205
2019-09-20,-0.06630255400107501,0.31513438,0,0.8359150665687205
2019-09-23,-0.9772844517510167,0.31513438,0,0.8359150665687205
2019-09-24,0.641804289879383,0.315134,0,0.835914335896406
2019-09-25,-0.3175391332579988,0.31513438,0,0.8359150665687205
2019-09-26,-0.636452211752241,0.31513438,0,0.8359150665687205
2019-09-27,0.5398768662563956,0.31513438,0,0.8359150665687205
2019-09-30,-1.4107709681938163,-0.012615588,0,-0.6881389542164722
2019-10-01,-1.9498507529162752,-0.0134656355,0,-0.690930393286875
2019-10-02,0.8912618126208045,0.31513438,0,0.8359150665687205
2019-10-03,1.5133517504041296,0.31513438,0,0.8359150665687205
2019-10-04,-0.49763036433313607,-0.017479721,-1,-0.7038369346496516
2019-10-07,-1.6494470832090942,-0.013910338,0,-0.6923825824719362
2019-10-08,0.9793522836808763,0.31513438,0,0.8359150665687205
2019-10-09,0.6822279109297404,0.31513438,0,0.8359150665687205
2019-10-10,1.1355124451522594,0.1477036,0,0.15792854224391079
2019-10-11,-0.17925825664678696,0.31513438,0,0.8359150665687205
2019-10-14,1.0223038840936842,-0.012778133,0,-0.6886743160119495
2019-10-15,-0.2653960331248506,0.18263733,0,0.3609372743361547
2019-10-16,0.2530067275070841,0.31513438,0,0.8359150665687205
2019-10-17,-0.48030466011874756,0.31513438,0,0.8359150665687205
