date,label,predict,pos_quantile,pos
2019-05-20,0.9564073271718125,-0.011166761,0,0.780170367012782
2019-05-21,-0.3687630487692175,-0.011162858,0,0.8616529691474795
2019-05-22,-1.408934350846127,-0.011152796,1,0.960665572714916
2019-05-23,0.15687748948463617,-0.01116285,0,0.8617933774244256
2019-05-24,-0.0037813319026872173,-0.011174878,0,0.4758457294410254
2019-05-27,-0.9917390392221095,-0.011161003,0,0.8896919817857871
2019-05-28,-0.7997005169598433,-0.011165047,0,0.820162308695663
2019-05-29,0.28583675684892323,-0.0111725265,0,0.5853874591273333
2019-05-30,-1.5276711621984915,-0.01116964,0,0.6954452495169742
2019-05-31,-0.2643505018278833,-0.011168207,0,0.7405476952724397
2019-06-03,2.4285319929239257,-0.0111614615,0,0.8833094511150716
2019-06-04,0.9191102292398053,-0.011173363,0,0.5484762818143055
2019-06-05,0.678331710304995,-0.011156965,1,0.93327761336134
2019-06-06,1.144468402990853,-0.0111612985,0,0.8856184066821202
2019-06-07,0.4755722347747159,-0.011165733,0,0.8049969766108945
2019-06-10,-0.09971503285166095,-0.011172297,0,0.5951013484897956
2019-06-11,-0.29313560571671043,-0.011175474,0,0.4452941175937049
2019-06-12,0.4230156206510362,-0.011150062,1,0.9722800470599793
2019-06-13,-0.2515946954577212,-0.011172567,0,0.5836719459846696
2019-06-14,0.05331204394927068,-0.011183652,0,-0.053279108986910864
2019-06-17,1.0871768219494844,-0.011168764,0,0.7237383947468404
2019-06-18,0.2736595276812221,-0.011167633,0,0.7569449240731352
2019-06-19,1.0378387488835836,-0.011173707,0,0.5326064218048642
2019-06-20,-0.26509181043716273,-0.011170814,0,0.6538912771985396
2019-06-21,-0.31959809304197156,-0.011189581,0,-0.41291544918458173
2019-06-24,-1.255929021341116,-0.011184404,0,-0.10188057757417915
2019-06-25,-0.22470491675472068,-0.011187605,0,-0.3009135134359281
2019-06-26,0.4020619178156419,-0.011160648,1,0.8944072038848934
2019-06-27,0.6351248322830275,-0.011158867,1,0.9153340403186256
2019-06-28,0.8599153886506312,-0.011175503,0,0.4437867145832138
2019-07-01,0.2553697331857265,-0.011184438,0,-0.10409906074468948
2019-07-02,0.8466302245549291,-0.011171574,0,0.6246628791017323
2019-07-03,-0.13898918724371662,-0.0111721065,0,0.6030657477010817
2019-07-04,-0.37028357973918496,-0.01119525,-1,-0.6684877935958197
2019-07-05,-0.7575021791694888,-0.011189335,0,-0.39955725572735634
2019-07-08,0.04755185285284147,-0.011178092,0,0.29903846402943035
2019-07-09,0.47811636163319193,-0.01117904,0,0.24188062803679253
2019-07-10,0.17655724361450997,-0.011175543,0,0.44169163690806357
2019-07-11,0.4874188476561771,-0.011186697,0,-0.24626897379961735
2019-07-12,-0.12156754734102972,-0.011192173,0,-0.5425594871406819
2019-07-15,-0.6111237598176341,-0.011197325,-1,-0.736609017909141
2019-07-16,-1.0274127603150236,-0.011190775,0,-0.4752360635193879
2019-07-17,0.3855040076535829,-0.011192278,0,-0.5473736784271794
2019-07-18,-0.9737240959550771,-0.011189296,0,-0.39741614935397274
2019-07-19,0.29771568672161974,-0.011198818,-1,-0.7779551020985839
2019-07-22,0.8520611547455313,-0.011193063,-1,-0.5821515609339798
2019-07-23,0.5368552089592494,-0.011168686,0,0.7261536112121598
2019-07-24,-0.8816960303009417,-0.011184776,0,-0.12580592494574086
2019-07-25,0.9263167724602512,-0.011190281,0,-0.44999453202164486
2019-07-26,-0.36907947200525204,-0.011192645,0,-0.5638779428183001
2019-07-29,-0.5030166567121221,-0.011188004,0,-0.3243688097750789
2019-07-30,-1.661915582955025,-0.011196515,-1,-0.7115425960007367
2019-07-31,-1.3431869193104145,-0.011203021,-1,-0.8652000370610632
2019-08-01,-1.069654873440563,-0.011188505,0,-0.3532267658742179
2019-08-02,-3.6024180092441584,-0.011192928,-1,-0.5763125847325508
2019-08-05,1.5606246992217085,-0.011186359,0,-0.2255530112125805
2019-08-06,0.1116407469505166,-0.011192707,0,-0.5666409108618126
2019-08-07,2.1144177153096817,-0.011194569,-1,-0.6432536545468449
2019-08-08,-0.7801339676057926,-0.011183063,0,-0.014967533712665529
2019-08-09,-1.359345128372799,-0.011218333,-1,-0.9804874605362236
2019-08-12,1.628271274164755,-0.011204624,-1,-0.8891729094283057
2019-08-13,-2.96909417645703,-0.01117495,0,0.4722279774714651
2019-08-14,0.2969969588260307,-0.011189668,0,-0.41762962059714787
2019-08-15,1.4605744520024773,-0.011181522,0,0.08506072969243149
2019-08-16,1.1953534820782115,-0.011188124,0,-0.3313460770129059
2019-08-19,-0.8008273407020143,-0.011194195,-1,-0.6287476328757201
2019-08-20,0.8164339648138284,-0.011191776,0,-0.5240880721314172
2019-08-21,-0.06686445904140521,-0.011196921,-1,-0.7243438706266089
2019-08-22,-2.484962823445256,-0.011186346,0,-0.224747594622271
2019-08-23,1.0656149105221444,-0.011206161,-1,-0.9083511448742329
2019-08-26,-0.28651208385413823,-0.011197383,-1,-0.7383228884235756
2019-08-27,0.6463033465430272,-0.011188403,0,-0.34737861710579665
2019-08-28,1.2054687775832749,-0.011179606,0,0.20689445568185147
2019-08-29,0.044702414726152176,-0.011182472,0,0.023448608468842374
2019-08-30,-0.018107070156719897,-0.011217539,-1,-0.9783877119712627
2019-09-02,-0.6929271439321415,-0.011195056,-1,-0.661456690418577
2019-09-03,1.0474399506920407,-0.011190312,0,-0.4515879943549646
2019-09-04,1.2253272028479014,-0.011199459,-1,-0.7939116583833112
2019-09-05,0.036103904515348534,-0.011199805,-1,-0.8020767029074475
