date,label,predict,pos_quantile,pos
2019-05-20,0.9564073271718125,-0.052335624,0,-0.13405330655507083
2019-05-21,-0.3687630487692175,-0.119737096,-1,-0.7205424757907544
2019-05-22,-1.408934350846127,0.049262412,1,0.7745848102893428
2019-05-23,0.15687748948463617,0.061127692,1,0.8236063715859014
2019-05-24,-0.0037813319026872173,-0.0759568,0,-0.38514314493231716
2019-05-27,-0.9917390392221095,-0.06863993,0,-0.3113791671811098
2019-05-28,-0.7997005169598433,-0.017878015,0,0.25502401289409177
2019-05-29,0.28583675684892323,0.023741653,0,0.6283337941333547
2019-05-30,-1.5276711621984915,-0.061167035,0,-0.23196744546555054
2019-05-31,-0.2643505018278833,-0.046112288,0,-0.06332355763577006
2019-06-03,2.4285319929239257,-0.019869829,0,0.23351963588984717
2019-06-04,0.9191102292398053,-0.20405866,-1,-0.9542206602617773
2019-06-05,0.678331710304995,-0.07183006,0,-0.34406947508050206
2019-06-06,1.144468402990853,0.021497494,0,0.6124862808145674
2019-06-07,0.4755722347747159,-0.049195737,0,-0.09849237282133642
2019-06-10,-0.09971503285166095,-0.12864274,-1,-0.76618660290129
2019-06-11,-0.29313560571671043,0.06749418,1,0.8457482356224172
2019-06-12,0.4230156206510362,-0.08918032,0,-0.5064308965686388
2019-06-13,-0.2515946954577212,-0.20189968,-1,-0.9519496575886378
2019-06-14,0.05331204394927068,0.06668581,1,0.8430848131868194
2019-06-17,1.0871768219494844,0.063254,1,0.8313034991855579
2019-06-18,0.2736595276812221,-0.11131947,0,-0.6707584523331406
2019-06-19,1.0378387488835836,-0.02670796,0,0.15805682405558139
2019-06-20,-0.26509181043716273,0.011180164,0,0.5330717438194268
2019-06-21,-0.31959809304197156,0.01082949,0,0.530183277546809
2019-06-24,-1.255929021341116,-0.15907119,-1,-0.8764877671997966
2019-06-25,-0.22470491675472068,0.101463094,1,0.9262123670550042
2019-06-26,0.4020619178156419,-0.11894457,-1,-0.7161383574382867
2019-06-27,0.6351248322830275,-0.030486267,0,0.11549273362510827
2019-06-28,0.8599153886506312,-0.15711622,-1,-0.8711817178116241
2019-07-01,0.2553697331857265,0.01257181,0,0.5444124608026195
2019-07-02,0.8466302245549291,-0.01896068,0,0.24336491391868065
2019-07-03,-0.13898918724371662,-0.05504168,0,-0.16442971326911893
2019-07-04,-0.37028357973918496,-0.073141634,0,-0.3572768342092382
